Date|Distribuidora||Original|Regex|Processado|No Stopwords
2021-01-31|Light|1512|"@lightclientes Mandar DM??? Pra vcs abrirem outro protocolo e não resolverem nada????
Tem pessoas na rua sem poder usar o Ar, nesse calor desgraçado do Rio."|Mandar DM??? Pra vcs abrirem outro protocolo e não resolverem nada???? Tem pessoas na rua sem poder usar o Ar, nesse calor desgraçado do Rio.|mandar vcs abrirem protocolo resolverem pessoas rua usar ar calor desgraçado|mandar vcs abrirem protocolo resolverem pessoas rua usar ar calor desgraçado
2021-01-31|Light|1513|"@lightclientes Tudo péssimo.
Estou a mais de três horas sem poder sair com meu carro, pq tem um fio de alta tensão em cima dele, e só o que me falam é que vao vir...
Quero saber que horas??? https://t.co/KSk9xjAh2N"|Tudo péssimo. Estou a mais de três horas sem poder sair com meu carro, pq tem um fio de alta tensão em cima dele, e só o que me falam é que vao vir... Quero saber que horas???|péssimo horas sair carro fio alta tensão cima falam vir quero saber horas|péssimo horas sair carro fio alta tensão cima falam vir quero saber horas
2021-01-31|Light|1514|"@lightclientes deixar um fio caído na rua por mais de 3 horas é um absurdo.
Não pagamos barato, então façam a sua parte."|deixar um fio caído na rua por mais de 3 horas é um absurdo. Não pagamos barato, então façam a sua parte.|deixar fio caído rua horas absurdo pagamos barato então façam parte|deixar fio caído rua horas absurdo pagamos barato então façam parte
2021-01-31|Light|1515|@lightclientes a merda da luz tá oscilando de 5 em 5 minutos. Já abri 4 protocolos e NGM veio ver. Se eu colocar gato no meu ar vcs vem aqui?|a merda da luz tá oscilando de 5 em 5 minutos. Já abri 4 protocolos e NGM veio ver. Se eu colocar gato no meu ar vcs vem aqui?|merda luz tá oscilando abri ver colocar gato ar vem aqui|merda luz tá oscilando abri ver colocar gato ar vem aqui
2021-01-31|Light|1516|@lightclientes me explica como é possível alguém ficar sem luz por 4 dias consecutivos se esse mesmo alguém paga em dia e caro pelo serviço?|me explica como é possível alguém ficar sem luz por 4 dias consecutivos se esse mesmo alguém paga em dia e caro pelo serviço?|explica possível ficar luz consecutivos paga dia caro serviço|explica possível ficar luz consecutivos paga dia caro serviço
2021-01-31|Light|1517|@lightclientes Já mandei, estou tentando em ligação e não me atendem e agora está mudo!|Já mandei, estou tentando em ligação e não me atendem e agora está mudo!|mandei tentando ligação atendem agora mudo|mandei tentando ligação atendem agora mudo
2021-01-31|Light|1518|@lightclientes Essa merda de empresa faz pouco caso agente chama emergência já tem 24 horas estou com câncer estado grave passando calor devido a má vontade da emergência . Se amanhã não resolve vou por na justiça|Essa merda de empresa faz pouco caso agente chama emergência já tem 24 horas estou com câncer estado grave passando calor devido a má vontade da emergência . Se amanhã não resolve vou por na justiça|merda empresa faz caso agente chama emergência horas câncer estado grave passando calor devido má vontade emergência amanhã resolve justiça|merda empresa faz caso agente chama emergência horas câncer estado grave passando calor devido má vontade emergência amanhã resolve justiça
2021-01-31|Light|1519|@lightclientes o transformador na porta da minha casa está pegando fogo e soltando dando curto! Nunca que resolvem essa droga. #vergonha|o transformador na porta da minha casa está pegando fogo e soltando dando curto! Nunca que resolvem essa droga.|transformador porta casa pegando fogo soltando dando curto nunca resolvem droga|transformador porta casa pegando fogo soltando dando curto nunca resolvem droga
2021-01-31|Light|1520|@lightclientes Que modernização só vivo no escuro como já estou 24 horas nem emergência resolve tudo farsa|Que modernização só vivo no escuro como já estou 24 horas nem emergência resolve tudo farsa|modernização vivo escuro horas emergência resolve farsa|modernização vivo escuro horas emergência resolve farsa
2021-01-31|Light|1521|A @lightclientes tá de sacanagem com a cara dos clientes de Caxias. Todo dia tendo queda de luz aqui no meu bairro, todo dia a gente correndo o risco de ter os eletrodomésticos queimados por conta disso. Se queimar, quem vai nos ressarcir? Só ontem foram 5 quedas de energia|A tá de sacanagem com a cara dos clientes de Caxias. Todo dia tendo queda de luz aqui no meu bairro, todo dia a gente correndo o risco de ter os eletrodomésticos queimados por conta disso. Se queimar, quem vai nos ressarcir? Só ontem foram 5 quedas de energia|sacanagem cara clientes caxias dia tendo queda luz aqui bairro dia gente correndo risco ter queimados conta queimar ressarcir ontem energia|sacanagem cara clientes caxias dia tendo queda luz aqui bairro dia gente correndo risco ter queimados conta queimar ressarcir ontem energia
2021-01-31|Light|1522|@_marceloafonso @lightclientes Ih caralho kkkkkkkkkkkkkkkkkk|Ih caralho kkkkkkkkkkkkkkkkkk||
2021-01-31|Light|1523|@hyurifox @lightclientes Puta merda, coé @lightclientes ajuda o amigo aqui!|Puta merda, coé ajuda o amigo aqui!|puta merda ajuda amigo aqui|puta merda ajuda amigo aqui
2021-01-31|Light|1524|@mttcunhaa @lightclientes Já voltou se não o destino deles eles já sabiam.|Já voltou se não o destino deles eles já sabiam.|destino sabiam|destino sabiam
2021-01-31|Light|1525|@lightclientes @gaygher96 ajuda o amigo aí com todo o respeito.|ajuda o amigo aí com todo o respeito.|ajuda amigo aí respeito|ajuda amigo aí respeito
2021-01-31|Light|1526|@lightclientes Ligamos pra vcs comunicando a falta de luz. Vcs não compareceram. 😠|Ligamos pra vcs comunicando a falta de luz. Vcs não compareceram. 😠|ligamos vcs comunicando falta luz compareceram 😠|ligamos vcs comunicando falta luz compareceram 😠
2021-01-31|Light|1527|@lightclientes Não, não está.|Não, não está.||
2021-01-31|Light|1528|@gaygher96 @lightclientes calor desse, só pode tá de sacanagem|calor desse, só pode tá de sacanagem|calor tá sacanagem|calor tá sacanagem
2021-01-31|Light|1529|Mó calorão @lightclientes  e tu me deixa sem luz. É sacanagem|Mó calorão e tu me deixa sem luz. É sacanagem|mó calorão deixa luz sacanagem|mó calorão deixa luz sacanagem
2021-01-31|Light|1530|@lightclientes Vão dar um solução pra nós ou vão ligar pra terceiros?|Vão dar um solução pra nós ou vão ligar pra terceiros?|dar solução ligar terceiros|dar solução ligar terceiros
2021-01-31|Light|1531|Iae da @lightclientes vocês tão de sacanagem nessa porra né ? Um calor do caralho vocês deixar nós sem luz tá de sacanagem nessa porra ?|Iae da vocês tão de sacanagem nessa porra né ? Um calor do caralho vocês deixar nós sem luz tá de sacanagem nessa porra ?|tão sacanagem porra calor deixar luz tá sacanagem porra|tão sacanagem porra calor deixar luz tá sacanagem porra
2021-01-30|Light|1532|Ô @lightclientes faltar luz HOJE é putaria hein?! Calor do caralho|Ô faltar luz HOJE é putaria hein?! Calor do caralho|faltar luz hoje putaria calor|faltar luz hoje putaria calor
2021-01-30|Light|1533|Um calorão e a luz resolveu acabar 😒 @lightclientes|Um calorão e a luz resolveu acabar 😒|calorão luz resolveu acabar|calorão luz resolveu acabar
2021-01-30|Light|1534|@Casimiro @lightclientes ta na hora...|ta na hora...|hora|hora
2021-01-30|Light|1535|@lightclientes a cada queda de tensão vou colocar um comentário aqui até me cansar...|a cada queda de tensão vou colocar um comentário aqui até me cansar...|queda tensão colocar comentário aqui cansar|queda tensão colocar comentário aqui cansar
2021-01-30|Light|1536|@Morenafps Espero que o ar-condicionado aí funcione, pq aqui a @lightclientes  não me permite usá-lo|Espero que o ar-condicionado aí funcione, pq aqui a não me permite usá-lo|espero ar-condicionado aí pq aqui permite|espero ar-condicionado aí pq aqui permite
2021-01-30|Light|1537|@lightclientes Vcs conseguem estragar o final de semana de um trabalhador. É incrível a capacidade de vcs em fazer isso.|Vcs conseguem estragar o final de semana de um trabalhador. É incrível a capacidade de vcs em fazer isso.|conseguem estragar final semana trabalhador incrível capacidade vcs fazer|conseguem estragar final semana trabalhador incrível capacidade vcs fazer
2021-01-30|Light|1538|Casa da minha mãe sem luz no calor de 40 graus. Ligamos pra @lightclientes  14h e até agora nada. Absurdo! Cobram um valor altíssimo e agem com descaso total com os clientes.|Casa da minha mãe sem luz no calor de 40 graus. Ligamos pra 14h e até agora nada. Absurdo! Cobram um valor altíssimo e agem com descaso total com os clientes.|casa mãe luz calor ligamos 14h agora absurdo cobram valor altíssimo agem descaso total|casa mãe luz calor ligamos 14h agora absurdo cobram valor altíssimo agem descaso total
2021-01-30|Light|1539|"@lightclientes , mesmo com tantos protocolos de atendimento, que não informam o ocorrido ([30/1 08:14] Paulo Candido: 2162967731, protocolo 2162967896
[: Novo protocolo 2162985433 as 08:25h , atendente Milena, nada foi feito até o momento, toda a rua no escuro,"|, mesmo com tantos protocolos de atendimento, que não informam o ocorrido ([30/1 08:14] Paulo Candido: 2162967731, protocolo 2162967896 [: Novo protocolo 2162985433 as 08:25h , atendente Milena, nada foi feito até o momento, toda a rua no escuro,|protocolos atendimento informam ocorrido 30/1 candido protocolo [: novo protocolo 2162985433 08:25h atendente milena feito momento rua|protocolos atendimento informam ocorrido 30/1 candido protocolo [: novo protocolo 2162985433 08:25h atendente milena feito momento rua
2021-01-30|Light|1540|Hoje às 22:00hs Faz 5 Dias Que Estou Sem Luz e a @lightclientes  Não faz porra nenhuma pra mudar essa situação #5DiasSemLuz Alô @lightclientes Vc Vão Tomar Vergonha Na Cara Quando E Conserta Essa Merda Pois Até Agora Nenhum Informação Dada Por Vcs Além De Mensagens Automáticas🤬|Hoje às 22:00hs Faz 5 Dias Que Estou Sem Luz e a Não faz porra nenhuma pra mudar essa situação Alô Vc Vão Tomar Vergonha Na Cara Quando E Conserta Essa Merda Pois Até Agora Nenhum Informação Dada Por Vcs Além De Mensagens Automáticas🤬|hoje 22:00hs faz luz faz porra mudar situação tomar vergonha cara conserta merda agora informação dada vcs além mensagens automáticas|hoje 22:00hs faz luz faz porra mudar situação tomar vergonha cara conserta merda agora informação dada vcs além mensagens automáticas
2021-01-30|Light|1541|"@lightclientes , terceira sem energia, as equipes de emergência ,que vêm até o local, informam que não possuem material, para fazer a ligação.
Já vieram 3 equipes, 1 fez a emenda dos cabos, porém partiram logo em seguida, já estamos desde das 22h do dia 29/01/2021 sem energia"|, terceira sem energia, as equipes de emergência ,que vêm até o local, informam que não possuem material, para fazer a ligação. Já vieram 3 equipes, 1 fez a emenda dos cabos, porém partiram logo em seguida, já estamos desde das 22h do dia 29/01/2021 sem energia|terceira energia equipes emergência vêm local informam possuem material fazer ligação vieram fez emenda cabos porém partiram logo seguida 22h dia 29/01/2021 energia|terceira energia equipes emergência vêm local informam possuem material fazer ligação vieram fez emenda cabos porém partiram logo seguida 22h dia 29/01/2021 energia
2021-01-30|Light|1542|@lightclientes Vai fazer 4 dias que estou sem energia. E nenhuma equipe comparei ao local até agora. Simplesmente indignada, triste e minha fatura já chegou|Vai fazer 4 dias que estou sem energia. E nenhuma equipe comparei ao local até agora. Simplesmente indignada, triste e minha fatura já chegou|fazer energia equipe comparei local agora simplesmente indignada triste fatura chegou|fazer energia equipe comparei local agora simplesmente indignada triste fatura chegou
2021-01-30|Light|1543|Quarto protocolo de emergência aberto, que empresa irresponsável hein @lightclientes?|Quarto protocolo de emergência aberto, que empresa irresponsável hein|quarto protocolo emergência empresa irresponsável hein|quarto protocolo emergência empresa irresponsável hein
2021-01-30|Light|1544|Acabou de chegar um caminhão da @lightclientes aqui na rua e eles vieram SOMENTE PARA MEDIR O FIO. Sendo que de tarde já tinham feito. E avisaram que só vão trocar a fiação na segunda feira. COMO VAMOS FICAR 3 DIAS SEM LUZ? VOCES VÃO BANCAR A COMIDA QUE IRÁ ESTRAGAR ATÉ LÁ? 🤬|Acabou de chegar um caminhão da aqui na rua e eles vieram SOMENTE PARA MEDIR O FIO. Sendo que de tarde já tinham feito. E avisaram que só vão trocar a fiação na segunda feira. COMO VAMOS FICAR 3 DIAS SEM LUZ? VOCES VÃO BANCAR A COMIDA QUE IRÁ ESTRAGAR ATÉ LÁ? 🤬|chegar caminhão aqui rua vieram somente medir fio sendo tarde feito avisaram trocar fiação segunda feira ficar luz voces bancar comida estragar lá 🤬|chegar caminhão aqui rua vieram somente medir fio sendo tarde feito avisaram trocar fiação segunda feira ficar luz voces bancar comida estragar lá 🤬
2021-01-30|Light|1545|@lightclientes Que eu passar os  números dos TRÊS protocolos para vocês efetivamente resolverem o problema? Lá tem todas as minhas informações já passadas aos atendentes|Que eu passar os números dos TRÊS protocolos para vocês efetivamente resolverem o problema? Lá tem todas as minhas informações já passadas aos atendentes|passar efetivamente resolverem problema lá informações passadas|passar efetivamente resolverem problema lá informações passadas
2021-01-30|Light|1546|@lightclientes Não tá nada bem, um calor do inferno e do nada minha luz para 🤬🤬🤬|Não tá nada bem, um calor do inferno e do nada minha luz para 🤬🤬🤬|tá bem calor luz|tá bem calor luz
2021-01-30|Light|1547|@lightclientes estou sem #luz me ajudaaaa|estou sem me ajudaaaa|ajudaaaa|ajudaaaa
2021-01-30|Light|1548|@lightclientes +20 pessoas sem luz no Corte 8 e vcs não fazem nada! É desumano a atitude da empresa para com seus clientes. DESUMANO!|+20 pessoas sem luz no Corte 8 e vcs não fazem nada! É desumano a atitude da empresa para com seus clientes. DESUMANO!|+20 pessoas luz corte fazem desumano atitude empresa desumano|+20 pessoas luz corte fazem desumano atitude empresa desumano
2021-01-30|Light|1549|"Muito obgd @lightclientes por ter me deixado s/ luz mais de 72hs, e msm com mais de 15 pedidos pra religação, vcs fizeram pouco caso.
Passar 3d nesse calor, s/ luz, s/ água, s/ ter como armazenar a comida, sem ter esperança. E eu ainda pago (sem gato) a essa empresa, só agradece"|Muito obgd por ter me deixado s/ luz mais de 72hs, e msm com mais de 15 pedidos pra religação, vcs fizeram pouco caso. Passar 3d nesse calor, s/ luz, s/ água, s/ ter como armazenar a comida, sem ter esperança. E eu ainda pago (sem gato) a essa empresa, só agradece|ter deixado s/ luz msm religação fizeram caso passar 3d calor s/ água armazenar comida ter esperança ainda pago gato empresa agradece|ter deixado s/ luz msm religação fizeram caso passar 3d calor s/ água armazenar comida ter esperança ainda pago gato empresa agradece
2021-01-30|Light|1550|@lightclientes @Prefeitura_Rio ja enviei tudo|ja enviei tudo|enviei|enviei
2021-01-30|Light|1551|Sem luz nesse calor do inferno, obrigada @lightclientes por esse mimo e por prestar o pior serviço.|Sem luz nesse calor do inferno, obrigada por esse mimo e por prestar o pior serviço.|luz calor obrigada mimo prestar pior serviço|luz calor obrigada mimo prestar pior serviço
2021-01-30|Light|1552|A gente abre dois protocolos de emergência e a @lightclientes não faz nada! Quero ver se o poste pega fogo|A gente abre dois protocolos de emergência e a não faz nada! Quero ver se o poste pega fogo|gente abre emergência faz quero ver poste pega fogo|gente abre emergência faz quero ver poste pega fogo
2021-01-30|Light|1553|@lightclientes @monalisapontess Respondi vcs na DM|Respondi vcs na DM||
2021-01-30|Light|1554|@monalisapontess @lightclientes HAHAHAHAHAAHAHHAAHAHAHHA O AUGE|HAHAHAHAHAAHAHHAAHAHAHHA O AUGE|auge|auge
2021-01-30|Light|1555|@lightclientes Claro q nao está td bem, todo dia falta luz, eu envio mensagem para isso e não funciona. Mandar email dizendo q estou consumindo muito vcs sabem. Que tal trabalhar?|Claro q nao está td bem, todo dia falta luz, eu envio mensagem para isso e não funciona. Mandar email dizendo q estou consumindo muito vcs sabem. Que tal trabalhar?|claro bem dia falta envio mensagem funciona mandar email dizendo consumindo sabem trabalhar|claro bem dia falta envio mensagem funciona mandar email dizendo consumindo sabem trabalhar
2021-01-30|Light|1556|Gente que sacanagem, cheguei de viagem e pensei que iria ficar no ar geladão, mas como toda desgraça para pobre é pouca! O Caralhow da minha Luz acabou @lightclientes tá 50 graus celsius, preciso do meu ar novamente!|Gente que sacanagem, cheguei de viagem e pensei que iria ficar no ar geladão, mas como toda desgraça para pobre é pouca! O Caralhow da minha Luz acabou tá 50 graus celsius, preciso do meu ar novamente!|gente sacanagem viagem pensei ficar desgraça pobre caralhow luz acabou tá preciso ar novamente|gente sacanagem viagem pensei ficar desgraça pobre caralhow luz acabou tá preciso ar novamente
2021-01-30|Light|1557|RT @eurenesilva: #Urgente Subestação da @lightclientes de Botafogo tá pegando fogo! Moradores do Morro Santa Marta também estão sem luz, al…|Subestação da de Botafogo tá pegando fogo! Moradores do Morro Santa Marta também estão sem luz, al…|subestação pegando fogo morro luz …|subestação pegando fogo morro luz …
2021-01-30|Light|1558|@lightclientes se estiver aceitando currículo, nunca te critiquei.|se estiver aceitando currículo, nunca te critiquei.|aceitando currículo nunca critiquei|aceitando currículo nunca critiquei
2021-01-30|Light|1559|@lightclientes TO sem luz 🥺|TO sem luz 🥺|luz|luz
2021-01-30|Light|1560|@monalisapontess @lightclientes Tem que multar em um valor expressivo essa empresa, duvido que não acaba essa pouca vergonha de TODO DIA ficar a luz caindo e voltando diversas vezes!|Tem que multar em um valor expressivo essa empresa, duvido que não acaba essa pouca vergonha de TODO DIA ficar a luz caindo e voltando diversas vezes!|multar valor expressivo empresa duvido acaba vergonha dia ficar luz caindo voltando vezes|multar valor expressivo empresa duvido acaba vergonha dia ficar luz caindo voltando vezes
2021-01-30|Light|1561|@TwAnony @lightclientes Qual foi alexan, deram tiro no poste?|Qual foi alexan, deram tiro no poste?|alexan deram tiro|alexan deram tiro
2021-01-30|Light|1562|NA HORA DO BIG FONE @lightclientes ?|NA HORA DO BIG FONE ?|hora|hora
2021-01-30|Light|1563|Ae @lightclientes cobrar e gostoso mas consertar e foda ne ????|Ae cobrar e gostoso mas consertar e foda ne ????|ae cobrar gostoso consertar foda|ae cobrar gostoso consertar foda
2021-01-30|Light|1564|@braddocktfm @gilsonmanguaca @bokinha_95 @lightclientes aqui na favela só tem churrasco de gato, fora isso 🤣|aqui na favela só tem churrasco de gato, fora isso 🤣|aqui favela churrasco gato 🤣|aqui favela churrasco gato 🤣
2021-01-30|Light|1565|@VelosoThallys @lightclientes kkkkkkkkkkkkk|kkkkkkkkkkkkk|kkkkkkkkkkkkk|kkkkkkkkkkkkk
2021-01-30|Light|1566|"@lightclientes Sim, comunicarei.
Tomei conhecimento que o problema que está ocorrendo é que o transformador está incapacitado pra atender a demanda.
Estou me preparando pra passar mais uma noite sem dormir.
Muito obrigado LIGHT...vcs são insuperáveis."|Sim, comunicarei. Tomei conhecimento que o problema que está ocorrendo é que o transformador está incapacitado pra atender a demanda. Estou me preparando pra passar mais uma noite sem dormir. Muito obrigado LIGHT...vcs são insuperáveis.|sim comunicarei conhecimento problema ocorrendo transformador incapacitado atender demanda preparando passar noite dormir obrigado light insuperáveis|sim comunicarei conhecimento problema ocorrendo transformador incapacitado atender demanda preparando passar noite dormir obrigado light insuperáveis
2021-01-30|Light|1567|@lightclientes Já enviei 🙏 espero q possam resolver🙏|Já enviei 🙏 espero q possam resolver🙏|espero resolver 🙏|espero resolver 🙏
2021-01-30|Light|1568|Bglh não ficou maneiro não em @lightclientes|Bglh não ficou maneiro não em|ficou maneiro|ficou maneiro
2021-01-30|Light|1569|um calor do caralho e sem luz! que vontade de chorar. vai tomar no cu @lightclientes|um calor do caralho e sem luz! que vontade de chorar. vai tomar no cu|calor luz vontade chorar tomar|calor luz vontade chorar tomar
2021-01-30|Light|1570|@lightclientes Faltando luz no bairro Riachuelo RJ RJ. Já mandei mensagem para vocês, mas não responderam. Vamos arrumar isso aí!|Faltando luz no bairro Riachuelo RJ RJ. Já mandei mensagem para vocês, mas não responderam. Vamos arrumar isso aí!|faltando luz rj mandei mensagem responderam arrumar aí|faltando luz rj mandei mensagem responderam arrumar aí
2021-01-30|Light|1571|@lightclientes Não ta tudo bem. Ta um calor DOS INFERNOS.|Não ta tudo bem. Ta um calor DOS INFERNOS.|ta bem calor infernos|ta bem calor infernos
2021-01-30|Light|1572|@lightclientes caminhão da ligth veio, cortou a luz sem motivo pois estamos em dia e até agora não mandaram uma equipe pra resolver!!|caminhão da ligth veio, cortou a luz sem motivo pois estamos em dia e até agora não mandaram uma equipe pra resolver!!|caminhão ligth veio cortou luz motivo pois dia agora mandaram equipe resolver|caminhão ligth veio cortou luz motivo pois dia agora mandaram equipe resolver
2021-01-30|Light|1573|Desde as 4 da manhã sem luz e com meu avô passando mal por conta do calor e a @lightclientes n faz nadaaaaaaa|Desde as 4 da manhã sem luz e com meu avô passando mal por conta do calor e a n faz nadaaaaaaa|manhã luz avô passando mal conta calor n faz|manhã luz avô passando mal conta calor n faz
2021-01-30|Light|1574|@lightclientes alô ligth calor de 40⁰c e vcs me deixaram sem luz desde quinta feira (28/01). Hoje dia 30 e ainda nada!!|alô ligth calor de 40⁰c e vcs me deixaram sem luz desde quinta feira (28/01). Hoje dia 30 e ainda nada!!|ligth calor deixaram luz quinta feira dia ainda nada|ligth calor deixaram luz quinta feira dia ainda nada
2021-01-30|Light|1575|ainda debocha!!!! @lightclientes https://t.co/2U284FU9E9|ainda debocha!!!!|ainda debocha|ainda debocha
2021-01-30|Light|1576|@lightclientes Revejam o valor da minha conta por favor. Isso não está certo! COBRANÇA ABUUUUUUSIVA!|Revejam o valor da minha conta por favor. Isso não está certo! COBRANÇA ABUUUUUUSIVA!|revejam valor conta favor certo cobrança abuuuuuusiva|revejam valor conta favor certo cobrança abuuuuuusiva
2021-01-30|Light|1577|@lightclientes desde QUINTA FEIRA 28/01 sem luz na minha residência!! Mais de 20 protocolos e contas em dia!! Um absurdo...cod cliente 0413696877|desde QUINTA FEIRA 28/01 sem luz na minha residência!! Mais de 20 protocolos e contas em dia!! Um absurdo...cod cliente 0413696877|feira luz residência contas dia absurdo cod cliente|feira luz residência contas dia absurdo cod cliente
2021-01-30|Light|1578|"hoje eu vou dedicar o meu dia a odiar a @lightclientes. 
Estourou um fio no poste por conta da instabilidade da rede. A casa tá basicamente sem energia e a light não tem atendimento."|hoje eu vou dedicar o meu dia a odiar a Estourou um fio no poste por conta da instabilidade da rede. A casa tá basicamente sem energia e a light não tem atendimento.|hoje dedicar dia odiar estourou fio conta instabilidade rede casa tá basicamente energia atendimento|hoje dedicar dia odiar estourou fio conta instabilidade rede casa tá basicamente energia atendimento
2021-01-30|Light|1579|45⁰, um calor DOSINFERNO e eu tô o quê? Isso mesmo, sem luz 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ @lightclientes|45⁰, um calor DOSINFERNO e eu tô o quê? Isso mesmo, sem luz 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️|calor dosinferno luz ♀ ♀ ♀ ♀|calor dosinferno luz ♀ ♀ ♀ ♀
2021-01-30|Light|1580|@lightclientes Absurdo a conta de luz de uma pessoa que mora em uma kitnet de 4 cômodos minúscula, ter que pagar uma conta de 420,00 r$. Um trabalhador que mora sozinho, sai de casa as 04:40 da manhã retornando somente 19hrs da noite. Tendo somente o mínimo dentro de casa.|Absurdo a conta de luz de uma pessoa que mora em uma kitnet de 4 cômodos minúscula, ter que pagar uma conta de 420,00 r$. Um trabalhador que mora sozinho, sai de casa as 04:40 da manhã retornando somente 19hrs da noite. Tendo somente o mínimo dentro de casa.|absurdo conta luz pessoa mora kitnet cômodos minúscula pagar conta trabalhador mora sozinho sai casa 04:40 manhã retornando somente noite tendo somente mínimo dentro casa|absurdo conta luz pessoa mora kitnet cômodos minúscula pagar conta trabalhador mora sozinho sai casa 04:40 manhã retornando somente noite tendo somente mínimo dentro casa
2021-01-30|Light|1581|@gilsonmanguaca @robinhomtsjr @bokinha_95 @lightclientes Gilson.. Gilson.. Gilson..🎶👏🏽😂😂|Gilson.. Gilson.. Gilson..🎶👏🏽😂😂||
2021-01-30|Light|1582|@lightclientes Eu Já estou cansada de reclamar com essa Empresa, reveja esse valor, já tem um ano que venho Reclamando , Uma conta de Mais de 800 Reais e coisa de Rico , Absurdo total|Eu Já estou cansada de reclamar com essa Empresa, reveja esse valor, já tem um ano que venho Reclamando , Uma conta de Mais de 800 Reais e coisa de Rico , Absurdo total|cansada reclamar empresa reveja valor ano venho reclamando conta coisa rico absurdo total|cansada reclamar empresa reveja valor ano venho reclamando conta coisa rico absurdo total
2021-01-30|Light|1583|@gilsonmanguaca @robinhomtsjr @braddocktfm @lightclientes Ihhhh aqui nem tem isso... Todo mundo paga a conta direitinho oh fé 🙏🏻|Ihhhh aqui nem tem isso... Todo mundo paga a conta direitinho oh fé 🙏🏻|ihhhh aqui mundo paga conta direitinho|ihhhh aqui mundo paga conta direitinho
2021-01-30|Light|1584|@lightclientes O que está acontecendo , não aguento mais essas cobranças abusivas, na conta de Janeiro , vc cobraram R$ 445,97, Depois da reclamação feita vcs abaixaram a conta para R$ 102,62( QUE INCLUSIVE JÁ ESTÁ PAGA) Agora vcs marcam um valor de R$ 857,25????? Isso absurdo 😠|O que está acontecendo , não aguento mais essas cobranças abusivas, na conta de Janeiro , vc cobraram R$ 445,97, Depois da reclamação feita vcs abaixaram a conta para R$ 102,62( QUE INCLUSIVE JÁ ESTÁ PAGA) Agora vcs marcam um valor de R$ 857,25????? Isso absurdo 😠|acontecendo aguento cobranças abusivas conta janeiro cobraram reclamação feita abaixaram conta inclusive paga agora marcam valor absurdo|acontecendo aguento cobranças abusivas conta janeiro cobraram reclamação feita abaixaram conta inclusive paga agora marcam valor absurdo
2021-01-30|Light|1585|@robinhomtsjr @bokinha_95 @braddocktfm @lightclientes Até parece que na favela que vc mora não tem gato|Até parece que na favela que vc mora não tem gato|parece favela mora gato|parece favela mora gato
2021-01-30|Light|1586|@braddocktfm @robinhomtsjr @lightclientes 🤣🤣🤣🤣🤣🤣🤣🤣🤣|🤣🤣🤣🤣🤣🤣🤣🤣🤣|🤣|🤣
2021-01-30|Light|1587|@bokinha_95 @robinhomtsjr @lightclientes Vou dar o endereço da tua mãe seu filho da puta, vou dar o daquela macumbeira lá que fica fazendo macumba pros vizinho tudo aí da vila! 🤦🏽‍♂️🤷🏽‍♂️|Vou dar o endereço da tua mãe seu filho da puta, vou dar o daquela macumbeira lá que fica fazendo macumba pros vizinho tudo aí da vila! 🤦🏽‍♂️🤷🏽‍♂️|dar endereço mãe filho puta dar macumbeira lá fazendo pros vizinho aí vila 🤦 🏽‍ 🏽‍ ♂ ️|dar endereço mãe filho puta dar macumbeira lá fazendo pros vizinho aí vila 🤦 🏽‍ 🏽‍ ♂ ️
2021-01-30|Light|1588|A @lightclientes chegou aqui na rua só agora para consertar os cabos arrebentados e disse que não poderia consertar pq não tem material. Ou seja, mais um dia sem luz  🤡|A chegou aqui na rua só agora para consertar os cabos arrebentados e disse que não poderia consertar pq não tem material. Ou seja, mais um dia sem luz 🤡|chegou aqui agora consertar arrebentados disse consertar pq material dia luz|chegou aqui agora consertar arrebentados disse consertar pq material dia luz
2021-01-30|Light|1589|@robinhomtsjr @braddocktfm @lightclientes Tem que comunicar né mano, pq não eh justo isso a gente pagar a conta certinho e oh cara com um leão em casa|Tem que comunicar né mano, pq não eh justo isso a gente pagar a conta certinho e oh cara com um leão em casa|comunicar mano gente pagar conta certinho leão casa|comunicar mano gente pagar conta certinho leão casa
2021-01-30|Light|1590|@bokinha_95 @braddocktfm @lightclientes 😭|😭|😭|😭
2021-01-30|Light|1591|@braddocktfm Alô da @lightclientes tem gato na casa dele aí... #gatonao|Alô da tem gato na casa dele aí...|gato casa aí|gato casa aí
2021-01-30|Light|1592|"@riodejaneiro 
Ser morador do RJ:

Água: CARA! com má qualidade, justificativa da @CedaeRJ  esta dentro do padrão de qualidade. 
Energia elétrica: CARA! Justificativa da @lightclientes  alguém tem que pagar pelos gatos. 

Cidade Maravilhosa és tu RJ"|Ser morador do RJ: Água: CARA! com má qualidade, justificativa da esta dentro do padrão de qualidade. Energia elétrica: CARA! Justificativa da alguém tem que pagar pelos gatos. Cidade Maravilhosa és tu RJ|ser morador rj água cara má qualidade justificativa dentro padrão qualidade energia elétrica cara justificativa pagar gatos cidade maravilhosa|ser morador rj água cara má qualidade justificativa dentro padrão qualidade energia elétrica cara justificativa pagar gatos cidade maravilhosa
2021-01-30|Light|1593|"A @lightclientes tá aprendendo a prestar um ""bom"" (des)serviço com a @energisa... #AjeitaMinhaLuzAeCaraio"|"A tá aprendendo a prestar um ""bom"" (des)serviço com a"|aprendendo prestar des)serviço|aprendendo prestar des)serviço
